           x      y      z   
    21.295   -164.541      8.000
    15.706    -77.738      8.000
    21.618   -158.763      8.000
    15.843    -77.997      8.000
    21.503   -166.598      8.000
    15.654    -79.057      8.000
    20.647   -155.828      8.000
    15.693    -84.504      8.000
    21.749   -161.809      8.000
    15.685    -78.517      8.000
    21.023   -158.267      8.000
    15.713    -81.620      8.000
    21.967   -160.739      8.000
    15.678    -80.004      8.000
    21.412   -155.613      8.000
    15.715    -84.046      8.000
    21.079   -166.608      8.000
    15.708    -78.387      8.000
    20.268   -163.714      8.000
    15.699    -79.491      8.000
    21.845   -160.330      8.000
    15.704    -81.223      8.000
    20.794   -165.133      8.000
    15.719    -77.811      8.000
    22.091   -163.024      8.000
    15.685    -82.675      8.000
    21.260   -155.118      8.000
    15.687    -85.600      8.000
    21.396   -157.095      8.000
    15.739    -82.585      8.000
    21.638   -161.448      8.000
    15.712    -82.614      8.000
    21.476   -166.168      8.000
    15.710    -78.630      8.000
    21.292   -161.488      8.000
    15.719    -76.064      8.000
    21.680   -159.396      8.000
    15.702    -79.005      8.000
    21.594   -166.548      8.000
    15.670    -79.021      8.000
    21.131   -158.245      8.000
    15.739    -81.672      8.000
    20.924   -160.877      8.000
    15.673    -79.387      8.000
    20.598   -166.815      8.000
    15.708    -77.926      8.000
    20.836   -156.899      8.000
    15.703    -79.750      8.000
    21.577   -162.377      8.000
    15.774    -76.696      8.000
    22.861   -164.408      8.000
    15.705    -78.485      8.000
    39.669     69.872      6.000
    16.070     56.410      6.000
    17.522     23.709      6.000
    16.221     88.224      6.000
    33.372     65.476      6.000
    28.174     59.974      6.000
    38.320     75.683      6.000
    43.560    131.101      6.000
    15.748     35.133      6.000
    20.461   -161.192      6.000
    34.682     62.291      5.000
    38.980     92.647      5.000
    40.939    124.927      6.000
    39.252    136.711      6.000
    18.405     31.127      6.000
    19.984    173.543      6.000
    24.433    -12.397      6.000
    41.723     98.384      6.000
    28.221     57.128      6.000
    45.527    156.832      6.000
    38.033    116.952      6.000
    29.118     33.129      6.000
    17.082     36.929      6.000
    38.615    115.793      6.000
    19.465     31.056      6.000
    16.136      3.885      6.000
    42.447     96.719      5.000
    30.166      1.154      5.000
    34.945     71.326      6.000
    16.129     71.626      6.000
    24.063     67.576      5.000
    44.160     50.991      5.000
    22.780     50.402      6.000
