         x          y          z
   -160.00      55.00      14.00
   -160.00      60.00      15.00
   -160.00      65.00      12.00
   -160.00      70.00      15.00
   -160.00      75.00      10.00
   -160.00      80.00      14.00
   -160.00      85.00      12.00
   -160.00      90.00      13.00
   -160.00      95.00      16.00
   -160.00     100.00      16.00
   -160.00     105.00       7.00
   -160.00     110.00       8.00
   -160.00     115.00      16.00
   -160.00     120.00      14.00
   -160.00     125.00      13.00
   -160.00     130.00      18.00
   -160.00     135.00      17.00
   -160.00     140.00      15.00
   -160.00     145.00      12.00
   -160.00     150.00      12.00
   -160.00     155.00      12.00
   -160.00     160.00      16.00
   -160.00     165.00       9.00
   -160.00     170.00      12.00
   -160.00     175.00      11.00
   -155.00    -180.00      19.00
   -155.00    -175.00      10.00
   -155.00    -170.00       8.00
   -155.00    -165.00       3.00
   -155.00    -160.00       5.00
   -155.00    -155.00      17.00
   -155.00    -150.00      15.00
   -155.00    -145.00       4.00
   -155.00    -140.00      11.00
   -155.00    -135.00       8.00
   -155.00    -130.00      25.00
   -155.00    -125.00      16.00
   -155.00    -120.00      22.00
   -155.00    -115.00      14.00
   -155.00    -110.00      19.00
   -155.00    -105.00      10.00
   -155.00    -100.00      11.00
   -155.00     -95.00      18.00
   -155.00     -90.00      25.00
   -155.00     -85.00      19.00
   -155.00     -80.00      24.00
   -155.00     -75.00      12.00
   -155.00     -70.00      15.00
   -155.00     -65.00       5.00
   -155.00     -60.00      10.00
   -155.00     -55.00       2.00
   -155.00     -50.00       9.00
   -155.00     -45.00       4.00
   -155.00     -40.00      10.00
   -155.00     -35.00      11.00
   -155.00     -30.00       4.00
   -155.00     -25.00       2.00
   -155.00     -20.00       4.00
   -155.00     -15.00       6.00
   -155.00     -10.00       2.00
   -155.00       0.00       3.00
   -155.00      10.00       4.00
   -155.00      20.00       2.00
   -155.00      25.00       1.00
   -155.00      30.00       3.00
   -155.00      35.00       9.00
   -155.00      40.00       4.00
   -155.00      45.00      12.00
   -155.00      50.00      22.00
   -155.00      55.00      10.00
   -155.00      60.00      13.00
   -155.00      65.00      10.00
   -155.00      70.00      12.00
   -155.00      75.00      16.00
   -155.00      80.00      11.00
   -155.00      85.00      12.00
   -155.00      90.00      32.00
   -155.00      95.00      22.00
   -155.00     100.00      11.00
   -155.00     105.00      16.00
   -155.00     110.00      13.00
   -155.00     115.00      16.00
   -155.00     120.00      12.00
   -155.00     125.00      13.00
   -155.00     130.00      18.00
   -155.00     135.00      25.00
   -155.00     140.00       7.00
   -155.00     145.00      16.00
   -155.00     150.00      17.00
   -155.00     155.00      19.00
   -155.00     160.00      12.00
   -155.00     165.00      12.00
   -155.00     170.00      13.00
   -155.00     175.00      11.00
   -150.00    -180.00       8.00
   -150.00    -175.00       8.00
   -150.00    -170.00       8.00
   -150.00    -165.00      10.00
   -150.00    -160.00      11.00
   -150.00    -155.00      10.00
   -150.00    -150.00      13.00
   -150.00    -145.00      14.00
   -150.00    -140.00      17.00
   -150.00    -135.00      15.00
   -150.00    -130.00      22.00
   -150.00    -125.00      16.00
   -150.00    -120.00       9.00
   -150.00    -115.00      17.00
   -150.00    -110.00      20.00
   -150.00    -105.00      15.00
   -150.00    -100.00      18.00
   -150.00     -95.00      22.00
   -150.00     -90.00      18.00
   -150.00     -85.00      20.00
   -150.00     -80.00      11.00
   -150.00     -75.00      13.00
   -150.00     -70.00      26.00
   -150.00     -65.00      19.00
   -150.00     -60.00       8.00
   -150.00     -55.00       4.00
   -150.00     -50.00       5.00
   -150.00     -45.00       4.00
   -150.00     -40.00       8.00
   -150.00     -35.00      10.00
   -150.00     -30.00       7.00
   -150.00     -25.00       8.00
   -150.00     -20.00       3.00
   -150.00     -15.00       1.00
   -150.00     -10.00      11.00
   -150.00      -5.00       8.00
   -150.00       0.00       2.00
   -150.00       5.00       7.00
   -150.00      10.00       5.00
   -150.00      15.00       2.00
   -150.00      20.00       4.00
   -150.00      25.00       7.00
   -150.00      30.00       6.00
   -150.00      35.00      16.00
   -150.00      40.00       4.00
   -150.00      45.00      13.00
   -150.00      50.00      11.00
   -150.00      55.00       5.00
   -150.00      60.00      13.00
   -150.00      65.00      13.00
   -150.00      70.00       9.00
   -150.00      75.00      11.00
   -150.00      80.00      16.00
   -150.00      85.00      23.00
   -150.00      90.00      27.00
   -150.00      95.00      15.00
   -150.00     100.00      16.00
   -150.00     105.00      24.00
   -150.00     110.00      15.00
   -150.00     115.00      14.00
   -150.00     120.00      17.00
   -150.00     125.00      10.00
   -150.00     130.00      11.00
   -150.00     135.00      16.00
   -150.00     140.00      14.00
   -150.00     145.00      10.00
   -150.00     150.00      14.00
   -150.00     155.00      13.00
   -150.00     160.00      18.00
   -150.00     165.00      16.00
   -150.00     170.00      16.00
   -150.00     175.00       8.00
   -145.00    -180.00      12.00
   -145.00    -175.00       8.00
   -145.00    -170.00       9.00
   -145.00    -165.00      15.00
   -145.00    -160.00      16.00
   -145.00    -155.00      17.00
   -145.00    -150.00      12.00
   -145.00    -145.00      10.00
   -145.00    -140.00      17.00
   -145.00    -135.00      18.00
   -145.00    -130.00      20.00
   -145.00    -125.00      18.00
   -145.00    -120.00      15.00
   -145.00    -115.00      17.00
   -145.00    -110.00      16.00
   -145.00    -105.00      13.00
   -145.00    -100.00      10.00
   -145.00     -95.00      20.00
   -145.00     -90.00      27.00
   -145.00     -85.00      18.00
   -145.00     -80.00      13.00
   -145.00     -75.00      14.00
   -145.00     -70.00      13.00
   -145.00     -65.00       6.00
   -145.00     -60.00       5.00
   -145.00     -55.00       5.00
   -145.00     -50.00       6.00
   -145.00     -45.00       5.00
   -145.00     -40.00       8.00
   -145.00     -35.00       5.00
   -145.00     -30.00       6.00
   -145.00     -25.00       1.00
   -145.00     -20.00       7.00
   -145.00     -15.00       6.00
   -145.00     -10.00       5.00
   -145.00      -5.00       1.00
   -145.00       0.00       3.00
   -145.00       5.00       1.00
   -145.00      10.00       2.00
   -145.00      15.00       3.00
   -145.00      20.00       1.00
   -145.00      25.00       5.00
   -145.00      30.00       5.00
   -145.00      35.00       2.00
   -145.00      40.00       6.00
   -145.00      45.00       5.00
   -145.00      50.00       8.00
   -145.00      55.00      13.00
   -145.00      60.00      17.00
   -145.00      65.00      10.00
   -145.00      70.00      10.00
   -145.00      75.00      13.00
   -145.00      80.00      15.00
   -145.00      85.00      14.00
   -145.00      90.00       7.00
   -145.00      95.00      14.00
   -145.00     100.00      20.00
   -145.00     105.00      14.00
   -145.00     110.00      28.00
   -145.00     115.00      20.00
   -145.00     120.00      21.00
   -145.00     125.00      10.00
   -145.00     130.00      12.00
   -145.00     135.00      12.00
   -145.00     140.00      10.00
   -145.00     145.00      14.00
   -145.00     150.00      11.00
   -145.00     155.00      12.00
   -145.00     160.00      13.00
   -145.00     165.00      11.00
   -145.00     170.00      18.00
   -145.00     175.00      10.00
   -140.00    -180.00      15.00
   -140.00    -175.00      15.00
   -140.00    -170.00       8.00
   -140.00    -165.00       6.00
   -140.00    -160.00      13.00
   -140.00    -155.00      14.00
   -140.00    -150.00       9.00
   -140.00    -145.00       7.00
   -140.00    -140.00      13.00
   -140.00    -135.00      12.00
   -140.00    -130.00       9.00
   -140.00    -125.00      13.00
   -140.00    -120.00      13.00
   -140.00    -115.00      23.00
   -140.00    -110.00      17.00
   -140.00    -105.00       9.00
   -140.00    -100.00      21.00
   -140.00     -95.00      27.00
   -140.00     -90.00      32.00
   -140.00     -85.00      30.00
   -140.00     -80.00      28.00
   -140.00     -75.00      18.00
   -140.00     -70.00       7.00
   -140.00     -65.00       5.00
   -140.00     -60.00       8.00
   -140.00     -55.00       8.00
   -140.00     -50.00      20.00
   -140.00     -45.00       2.00
   -140.00     -40.00       5.00
   -140.00     -35.00       3.00
   -140.00     -30.00       4.00
   -140.00     -25.00       5.00
   -140.00     -20.00       7.00
   -140.00     -10.00       3.00
   -140.00      -5.00       1.00
   -140.00       0.00       3.00
   -140.00       5.00       1.00
   -140.00      20.00       1.00
   -140.00      25.00       6.00
   -140.00      30.00      13.00
   -140.00      35.00      11.00
   -140.00      40.00       7.00
   -140.00      45.00      12.00
   -140.00      50.00      21.00
   -140.00      55.00      16.00
   -140.00      60.00      12.00
   -140.00      65.00       6.00
   -140.00      70.00       9.00
   -140.00      75.00      10.00
   -140.00      80.00      12.00
   -140.00      85.00      25.00
   -140.00      90.00      24.00
   -140.00      95.00      17.00
   -140.00     100.00      16.00
   -140.00     105.00      11.00
   -140.00     110.00      14.00
   -140.00     115.00      13.00
   -140.00     120.00      18.00
   -140.00     125.00      23.00
   -140.00     130.00       9.00
   -140.00     135.00      17.00
   -140.00     140.00      20.00
   -140.00     145.00       6.00
   -140.00     150.00      10.00
   -140.00     155.00      11.00
   -140.00     160.00      29.00
   -140.00     165.00      14.00
   -140.00     170.00      17.00
   -140.00     175.00      14.00
   -135.00    -180.00      19.00
   -135.00    -175.00      19.00
   -135.00    -170.00      17.00
   -135.00    -165.00      12.00
   -135.00    -160.00      18.00
   -135.00    -155.00      13.00
   -135.00    -150.00      16.00
   -135.00    -145.00      18.00
   -135.00    -140.00      15.00
   -135.00    -135.00      18.00
   -135.00    -130.00      19.00
   -135.00    -125.00      20.00
   -135.00    -120.00      22.00
   -135.00    -115.00      12.00
   -135.00    -110.00      11.00
   -135.00    -105.00      19.00
   -135.00    -100.00      19.00
   -135.00     -95.00      14.00
   -135.00     -90.00      22.00
   -135.00     -85.00      15.00
   -135.00     -80.00      14.00
   -135.00     -75.00      13.00
   -135.00     -70.00      19.00
   -135.00     -65.00      14.00
   -135.00     -60.00      10.00
   -135.00     -55.00       6.00
   -135.00     -50.00      14.00
   -135.00     -45.00       3.00
   -135.00     -40.00      10.00
   -135.00     -35.00       8.00
   -135.00     -30.00       4.00
   -135.00     -25.00       4.00
   -135.00     -20.00       8.00
   -135.00     -15.00       8.00
   -135.00     -10.00       2.00
   -135.00      -5.00       2.00
   -135.00       0.00       5.00
   -135.00       5.00       1.00
   -135.00      10.00       1.00
   -135.00      15.00       4.00
   -135.00      20.00       3.00
   -135.00      25.00       2.00
   -135.00      30.00      11.00
   -135.00      35.00      11.00
   -135.00      40.00      18.00
   -135.00      45.00      33.00
   -135.00      50.00       9.00
   -135.00      55.00       9.00
   -135.00      60.00      15.00
   -135.00      65.00       9.00
   -135.00      70.00      19.00
   -135.00      75.00      16.00
   -135.00      80.00      22.00
   -135.00      85.00      19.00
   -135.00      90.00      24.00
   -135.00      95.00      19.00
   -135.00     100.00      20.00
   -135.00     105.00      18.00
   -135.00     110.00      25.00
   -135.00     115.00      21.00
   -135.00     120.00       9.00
   -135.00     125.00      15.00
   -135.00     130.00      12.00
   -135.00     135.00      13.00
   -135.00     140.00      12.00
   -135.00     145.00      17.00
   -135.00     150.00      20.00
   -135.00     155.00      22.00
   -135.00     160.00      24.00
   -135.00     165.00      14.00
   -135.00     170.00      18.00
   -135.00     175.00      15.00
   -130.00    -180.00      18.00
   -130.00    -175.00      19.00
   -130.00    -170.00      17.00
   -130.00    -165.00      16.00
   -130.00    -160.00      26.00
   -130.00    -155.00      10.00
   -130.00    -150.00      18.00
   -130.00    -145.00      11.00
   -130.00    -140.00      17.00
   -130.00    -135.00      23.00
   -130.00    -130.00      23.00
   -130.00    -125.00      16.00
   -130.00    -120.00      20.00
   -130.00    -115.00      18.00
   -130.00    -110.00      19.00
   -130.00    -105.00      18.00
   -130.00    -100.00      23.00
   -130.00     -95.00      17.00
   -130.00     -90.00      12.00
   -130.00     -85.00      11.00
   -130.00     -80.00      19.00
   -130.00     -75.00      20.00
   -130.00     -70.00      14.00
   -130.00     -65.00      12.00
   -130.00     -60.00       7.00
   -130.00     -55.00       5.00
   -130.00     -50.00      12.00
   -130.00     -45.00       9.00
   -130.00     -40.00       7.00
   -130.00     -35.00       9.00
   -130.00     -30.00       7.00
   -130.00     -25.00       7.00
   -130.00     -20.00       3.00
   -130.00     -15.00       4.00
   -130.00     -10.00       7.00
   -130.00      -5.00       8.00
   -130.00       0.00       2.00
   -130.00      10.00       4.00
   -130.00      15.00       2.00
   -130.00      20.00       5.00
   -130.00      25.00       9.00
   -130.00      30.00      14.00
   -130.00      35.00       8.00
   -130.00      40.00       8.00
   -130.00      45.00      28.00
   -130.00      50.00      25.00
   -130.00      55.00      32.00
   -130.00      60.00      25.00
   -130.00      65.00      23.00
   -130.00      70.00      27.00
   -130.00      75.00      29.00
   -130.00      80.00      29.00
   -130.00      85.00      11.00
   -130.00      90.00      13.00
   -130.00      95.00      24.00
   -130.00     100.00      20.00
   -130.00     105.00      16.00
   -130.00     110.00      15.00
   -130.00     115.00      18.00
   -130.00     120.00      15.00
   -130.00     125.00      13.00
   -130.00     130.00       7.00
   -130.00     135.00      12.00
   -130.00     140.00       8.00
   -130.00     145.00      14.00
   -130.00     150.00       9.00
   -130.00     155.00      19.00
   -130.00     160.00      29.00
   -130.00     165.00      27.00
   -130.00     170.00      21.00
   -130.00     175.00      15.00
   -125.00    -180.00      27.00
   -125.00    -175.00      22.00
   -125.00    -170.00      24.00
   -125.00    -165.00      22.00
   -125.00    -160.00      27.00
   -125.00    -155.00      32.00
   -125.00    -150.00      51.00
   -125.00    -145.00      28.00
   -125.00    -140.00      15.00
   -125.00    -135.00      14.00
   -125.00    -130.00      18.00
   -125.00    -125.00      19.00
   -125.00    -120.00      16.00
   -125.00    -115.00      26.00
   -125.00    -110.00      26.00
   -125.00    -105.00      30.00
   -125.00    -100.00      36.00
   -125.00     -95.00      20.00
   -125.00     -90.00      32.00
   -125.00     -85.00      22.00
   -125.00     -80.00      12.00
   -125.00     -75.00      15.00
   -125.00     -70.00      22.00
   -125.00     -65.00      11.00
   -125.00     -60.00      18.00
   -125.00     -55.00      17.00
   -125.00     -50.00      12.00
   -125.00     -45.00      13.00
   -125.00     -40.00      14.00
   -125.00     -35.00      11.00
   -125.00     -30.00       8.00
   -125.00     -25.00      17.00
   -125.00     -20.00       3.00
   -125.00     -15.00       2.00
   -125.00     -10.00       4.00
   -125.00      -5.00       1.00
   -125.00       0.00       1.00
   -125.00       5.00       1.00
   -125.00      10.00       4.00
   -125.00      15.00       6.00
   -125.00      20.00       6.00
   -125.00      25.00      13.00
   -125.00      30.00      16.00
   -125.00      35.00      17.00
   -125.00      40.00      16.00
   -125.00      45.00      23.00
   -125.00      50.00      36.00
   -125.00      55.00      28.00
   -125.00      60.00      39.00
   -125.00      65.00      65.00
   -125.00      70.00      34.00
   -125.00      75.00      31.00
   -125.00      80.00      35.00
   -125.00      85.00      44.00
   -125.00      90.00      42.00
   -125.00      95.00      21.00
   -125.00     100.00      22.00
   -125.00     105.00      36.00
   -125.00     110.00      27.00
   -125.00     115.00      29.00
   -125.00     120.00      26.00
   -125.00     125.00      26.00
   -125.00     130.00      22.00
   -125.00     135.00      25.00
   -125.00     140.00      17.00
   -125.00     145.00      13.00
   -125.00     150.00      20.00
   -125.00     155.00      19.00
   -125.00     160.00      28.00
   -125.00     165.00      28.00
   -125.00     170.00      28.00
   -125.00     175.00      33.00
   -120.00    -180.00      25.00
   -120.00    -175.00      25.00
   -120.00    -170.00      15.00
   -120.00    -165.00      22.00
   -120.00    -160.00      31.00
   -120.00    -155.00      28.00
   -120.00    -150.00      24.00
   -120.00    -145.00      28.00
   -120.00    -140.00      13.00
   -120.00    -135.00      11.00
   -120.00    -130.00      20.00
   -120.00    -125.00      24.00
   -120.00    -120.00      24.00
   -120.00    -115.00      18.00
   -120.00    -110.00      29.00
   -120.00    -105.00      33.00
   -120.00    -100.00      19.00
   -120.00     -95.00      22.00
   -120.00     -90.00      25.00
   -120.00     -85.00      33.00
   -120.00     -80.00      23.00
   -120.00     -75.00      19.00
   -120.00     -70.00      13.00
   -120.00     -65.00      20.00
   -120.00     -60.00      30.00
   -120.00     -55.00      16.00
   -120.00     -50.00      14.00
   -120.00     -45.00      18.00
   -120.00     -40.00      22.00
   -120.00     -35.00       8.00
   -120.00     -30.00       7.00
   -120.00     -25.00      10.00
   -120.00     -20.00       6.00
   -120.00     -15.00       6.00
   -120.00      -5.00       4.00
   -120.00       0.00      13.00
   -120.00       5.00       9.00
   -120.00      10.00       2.00
   -120.00      15.00      25.00
   -120.00      20.00       7.00
   -120.00      25.00      12.00
   -120.00      30.00      19.00
   -120.00      35.00      12.00
   -120.00      40.00      17.00
   -120.00      45.00      17.00
   -120.00      50.00      21.00
   -120.00      55.00      20.00
   -120.00      60.00      16.00
   -120.00      65.00      33.00
   -120.00      70.00      23.00
   -120.00      75.00      17.00
   -120.00      80.00      15.00
   -120.00      85.00      24.00
   -120.00      90.00      38.00
   -120.00      95.00      20.00
   -120.00     100.00      23.00
   -120.00     105.00      21.00
   -120.00     110.00      33.00
   -120.00     115.00      29.00
   -120.00     120.00      23.00
   -120.00     125.00      20.00
   -120.00     130.00      25.00
   -120.00     135.00      19.00
   -120.00     140.00      19.00
   -120.00     145.00      17.00
   -120.00     150.00      20.00
   -120.00     155.00      29.00
   -120.00     160.00      36.00
   -120.00     165.00      32.00
   -120.00     170.00      33.00
   -120.00     175.00      32.00
   -115.00    -180.00      33.00
   -115.00    -175.00      30.00
   -115.00    -170.00      36.00
   -115.00    -165.00      41.00
   -115.00    -160.00      27.00
   -115.00    -155.00      38.00
   -115.00    -150.00      26.00
   -115.00    -145.00      31.00
   -115.00    -140.00      25.00
   -115.00    -135.00      19.00
   -115.00    -130.00      18.00
   -115.00    -125.00      40.00
   -115.00    -120.00      22.00
   -115.00    -115.00      35.00
   -115.00    -110.00      46.00
   -115.00    -105.00      42.00
   -115.00    -100.00      25.00
   -115.00     -95.00      41.00
   -115.00     -90.00      42.00
   -115.00     -85.00      35.00
   -115.00     -80.00      33.00
   -115.00     -75.00      29.00
   -115.00     -70.00      27.00
   -115.00     -65.00      37.00
   -115.00     -60.00      42.00
   -115.00     -55.00      20.00
   -115.00     -50.00      29.00
   -115.00     -45.00      25.00
   -115.00     -40.00      12.00
   -115.00     -35.00      11.00
   -115.00     -30.00       4.00
   -115.00     -25.00       9.00
