         x          y          z
    -90.41     -53.47       1.00
    -90.36     150.34       1.00
    -90.36     169.54       1.00
    -90.21     -49.37       1.00
    -90.21     134.22       1.00
    -90.17     -68.19       1.00
    -90.17     -64.10       1.00
    -90.16     -80.96       1.00
    -90.16     -59.11       1.00
    -90.07    -101.47       1.00
    -90.07     -96.05       1.00
    -90.06     -55.62       1.00
    -90.06     -19.33       1.00
    -90.05     -94.73       1.00
    -90.05     -57.49       1.00
    -90.02    -161.62       1.00
    -90.02     162.58       1.00
    -90.01     -41.07       1.00
    -90.01      92.11       1.00
    -90.01    -103.41       1.00
    -90.01     -71.18       1.00
    -89.95     -71.53       1.00
    -89.95     -64.52       1.00
    -89.95    -109.06       1.00
    -89.95     160.46       1.00
    -89.92    -161.44       1.00
    -89.92    -117.13       1.00
    -89.87     -85.47       1.00
    -89.87      86.16       1.00
    -89.85    -170.83       1.00
    -89.85    -166.13       1.00
    -89.81     -99.16       1.00
    -89.81     -75.27       1.00
    -89.80     -90.94       1.00
    -89.80     -65.76       1.00
    -89.78     -64.01       1.00
    -89.78     -61.33       1.00
    -89.68     -97.87       1.00
    -89.68     107.88       1.00
    -89.65    -152.07       1.00
    -89.65     -89.34       1.00
    -89.65     -51.89       1.00
    -89.65     138.55       1.00
    -89.64     -32.15       1.00
    -89.64     173.39       1.00
    -89.63     -88.38       1.00
    -89.63     -84.10       1.00
    -89.60     -87.40       1.00
    -89.60     -79.59       1.00
    -89.54    -153.79       1.00
    -89.54     167.68       1.00
    -89.53    -138.14       1.00
    -89.53     -82.42       1.00
    -89.52    -164.87       1.00
    -89.52     -99.05       1.00
    -89.52    -111.86       1.00
    -89.52     -58.96       1.00
    -89.52     -61.28       1.00
    -89.52     -48.43       1.00
    -89.48     -84.07       1.00
    -89.48     -64.65       1.00
    -89.43    -159.96       1.00
    -89.43     173.80       1.00
    -89.37     -83.37       1.00
    -89.37     -61.22       1.00
    -89.31     -71.74       1.00
    -89.31     -64.04       1.00
    -89.25     -87.80       1.00
    -89.25     -68.53       1.00
    -89.23     -85.51       1.00
    -89.23     -12.43       1.00
    -89.20     -52.73       1.00
    -89.20     174.89       1.00
    -89.19    -103.68       1.00
    -89.19     -60.32       1.00
    -89.14    -152.04       1.00
    -89.14     -97.52       1.00
    -89.10     -64.52       1.00
    -89.10     170.97       1.00
    -89.09    -148.16       1.00
    -89.09     -63.14       1.00
    -89.06     -87.24       1.00
    -89.06     -59.30       1.00
    -89.05    -172.88       1.00
    -89.05    -167.05       1.00
    -89.04     -73.81       1.00
    -89.04     -71.17       1.00
    -89.02    -100.02       1.00
    -89.02     -48.24       1.00
    -89.02     -78.36       1.00
    -89.02     -77.72       1.00
    -89.00     -89.22       1.00
    -89.00     163.84       1.00
    -88.98    -169.50       1.00
    -88.98      97.60       1.00
    -88.92     -88.56       1.00
    -88.92     -60.97       1.00
    -88.92     -84.07       1.00
    -88.92     -59.53       1.00
    -88.90     -83.30       1.00
