         x          y          z
    -88.50    -117.00       0.05
    -88.50     -95.50       0.05
    -88.50     -94.50       0.05
    -88.50     -93.00       0.05
    -88.50     -92.50       0.05
    -88.50     -91.50       0.05
    -88.50     -87.50       0.05
    -88.50     -85.50       0.05
    -88.50     -79.00       0.05
    -88.50     -50.00       0.05
    -88.50     -45.00       0.05
    -88.50      91.50       0.05
    -88.50      95.00       0.05
    -88.50     138.00       0.05
    -88.50     138.50       0.05
    -88.00    -122.50       0.05
    -88.00     -97.50       0.05
    -88.00     -92.50       0.05
    -88.00     -90.00       0.05
    -88.00     -86.50       0.05
    -88.00     -80.00       0.05
    -88.00     -63.00       0.05
    -88.00     -32.00       0.05
    -87.50    -161.00       0.05
    -87.50     -79.50       0.05
    -87.50     -72.00       0.05
    -87.50     -60.50       0.05
    -87.50     -48.00       0.05
    -87.50     173.50       0.05
    -87.00    -178.50       0.05
    -87.00     -94.50       0.05
    -87.00     -90.00       0.05
    -87.00     -87.00       0.05
    -87.00     -85.00       0.05
    -87.00     -73.50       0.05
    -87.00     118.50       0.05
    -87.00     142.00       0.05
    -87.00     145.00       0.05
    -87.00     162.50       0.05
    -86.50    -125.00       0.05
    -86.50    -109.50       0.05
    -86.50     -94.50       0.05
    -86.50     -83.50       0.05
    -86.50     -82.00       0.05
    -86.50     -67.00       0.05
    -86.50     -54.00       0.05
    -86.50     -51.50       0.05
    -86.50     -49.50       0.05
    -86.50     106.00       0.05
    -86.00    -174.00       0.10
    -86.00     -99.50       0.05
    -86.00     -98.50       0.05
    -86.00     -94.00       0.05
    -86.00     -51.50       0.05
    -86.00     -46.00       0.05
    -86.00     -43.00       0.05
    -86.00     121.00       0.05
    -86.00     130.00       0.05
    -85.50    -111.00       0.05
    -85.50     -98.50       0.05
    -85.50     -94.50       0.05
    -85.50     -84.50       0.05
    -85.50     -76.50       0.05
    -85.50     -69.00       0.05
    -85.50     -63.50       0.05
    -85.50     -57.00       0.05
    -85.50     -51.50       0.05
    -85.50     -48.00       0.05
    -85.50     -47.00       0.05
    -85.50     111.50       0.05
    -85.00    -106.50       0.05
    -85.00     -89.00       0.05
    -85.00     -84.50       0.05
    -85.00     -54.00       0.05
    -85.00     -49.00       0.05
    -85.00     -30.50       0.05
    -84.50    -156.00       0.05
    -84.50    -111.00       0.05
    -84.50     -99.50       0.05
    -84.50     -49.00       0.05
    -84.50      77.50       0.05
    -84.50      97.00       0.05
    -84.00    -151.50       0.05
    -84.00    -150.50       0.05
    -84.00    -121.00       0.05
    -84.00    -114.00       0.05
    -84.00    -101.50       0.05
    -84.00     -88.00       0.05
    -84.00     -76.50       0.05
    -84.00     -53.50       0.05
    -84.00     -52.50       0.05
    -84.00     -41.50       0.10
    -84.00     -25.50       0.05
    -84.00      74.50       0.05
    -84.00      79.00       0.05
    -84.00      99.50       0.05
    -84.00     102.00       0.10
    -84.00     114.50       0.05
    -83.50    -109.50       0.05
    -83.50     -94.50       0.05
    -83.50     -72.00       0.05
    -83.50     -56.50       0.05
    -83.50     -53.50       0.05
    -83.50     -51.00       0.05
    -83.00    -177.50       0.05
    -83.00    -153.00       0.05
    -83.00    -151.50       0.05
    -83.00    -113.50       0.10
    -83.00    -105.00       0.05
    -83.00     -83.50       0.05
    -83.00     -50.00       0.05
    -83.00      79.50       0.05
    -83.00     105.00       0.05
    -83.00     106.00       0.05
    -83.00     107.50       0.05
    -83.00     120.50       0.05
    -83.00     169.00       0.05
    -82.50    -119.50       0.05
    -82.50    -109.00       0.05
    -82.50     -85.00       0.05
    -82.50     -83.50       0.05
    -82.50     -71.00       0.05
    -82.50     -63.50       0.05
    -82.50     -57.50       0.05
    -82.50     -52.00       0.05
    -82.50     -50.00       0.05
    -82.50     -31.50       0.05
    -82.00    -130.00       0.05
    -82.00    -118.50       0.05
    -82.00    -117.50       0.05
    -82.00    -117.00       0.05
    -82.00    -110.50       0.05
    -82.00    -100.50       0.05
    -82.00     -99.00       0.10
    -82.00     -96.00       0.05
    -82.00     -90.00       0.05
    -82.00     -87.00       0.05
    -82.00     -85.50       0.05
    -82.00     -71.00       0.05
    -82.00     -70.50       0.05
    -82.00     -66.50       0.05
    -82.00     -65.00       0.10
    -82.00     -64.50       0.05
    -82.00     -53.00       0.05
    -82.00     -50.50       0.10
    -82.00     -44.50       0.05
    -82.00     -44.00       0.05
    -82.00     109.00       0.05
    -81.50    -152.50       0.05
    -81.50    -126.50       0.05
    -81.50    -121.50       0.05
    -81.50    -120.50       0.10
    -81.50     -95.50       0.05
    -81.50     -69.00       0.05
    -81.50     -64.00       0.05
    -81.50     -62.50       0.05
    -81.50     -52.50       0.05
    -81.50      81.50       0.05
    -81.50     105.50       0.05
    -81.50     167.50       0.05
    -81.50     176.00       0.05
    -81.00    -101.50       0.05
    -81.00     -89.00       0.05
    -81.00     -52.50       0.05
    -81.00     -51.00       0.05
    -81.00     -43.00       0.05
    -81.00      -1.50       0.05
    -80.50    -113.00       0.05
    -80.50    -100.50       0.05
    -80.50     -98.00       0.05
    -80.50     -93.50       0.05
    -80.50     -92.50       0.05
    -80.50     -56.50       0.05
    -80.50     -53.00       0.05
    -80.50     -51.50       0.05
    -80.50     -48.50       0.05
    -80.50     -47.50       0.10
    -80.50      97.50       0.05
    -80.50     107.00       0.10
    -80.00    -130.50       0.10
    -80.00    -122.00       0.05
    -80.00    -119.50       0.05
    -80.00    -106.50       0.05
    -80.00     -99.00       0.05
    -80.00     -86.00       0.05
